,0,names
0,0.23144306687653055,Product_Info_4
1,-0.11043832613223825,Ins_Age
2,0.2346366791069886,Ht
3,-0.5194179460664166,Wt
4,-0.23869251978301395,BMI
5,0.011133996464387619,Employment_Info_1
6,-0.0116061891455351,Employment_Info_4
7,0.024778300454422475,Employment_Info_6
8,-0.009733206408132411,Insurance_History_5
9,0.11596666438197878,Family_Hist_2
10,0.0799902792571145,Family_Hist_3
11,0.1538601812709607,Family_Hist_4
12,0.10363998129883886,Family_Hist_5
13,-0.009936949508636453,Medical_Keyword_1
14,0.01256280448404793,Medical_Keyword_2
15,-0.3915628046187342,Medical_Keyword_3
16,-0.021042823721766114,Medical_Keyword_4
17,-0.0012257180261826556,Medical_Keyword_5
18,0.012578903395333097,Medical_Keyword_6
19,0.01153184221015634,Medical_Keyword_7
20,-0.0040476222807343115,Medical_Keyword_8
21,-0.06606318694497748,Medical_Keyword_9
22,-0.005531771364525713,Medical_Keyword_10
23,-0.0178508619917941,Medical_Keyword_11
24,-0.03718850227504439,Medical_Keyword_12
25,-0.008868143858045898,Medical_Keyword_13
26,0.0016160523093783526,Medical_Keyword_14
27,-0.21104097769480712,Medical_Keyword_15
28,-0.06127478770478053,Medical_Keyword_16
29,-0.028060256302809915,Medical_Keyword_17
30,-0.04304052758378719,Medical_Keyword_18
31,-0.024993958206241496,Medical_Keyword_19
32,0.01007742621174156,Medical_Keyword_20
33,-0.014402482772305637,Medical_Keyword_21
34,0.03582894859509077,Medical_Keyword_22
35,-0.18137784645955918,Medical_Keyword_23
36,-0.02432210812167318,Medical_Keyword_24
37,0.019575901367919438,Medical_Keyword_25
38,0.01360350932373455,Medical_Keyword_26
39,-0.0033607110853344294,Medical_Keyword_27
40,0.015210781990024631,Medical_Keyword_28
41,0.0008397249827575975,Medical_Keyword_29
42,-0.04957908149891711,Medical_Keyword_30
43,-0.036261493730247354,Medical_Keyword_31
44,0.008534791248037334,Medical_Keyword_32
45,0.025089854109987653,Medical_Keyword_33
46,-0.04148796422662002,Medical_Keyword_34
47,-0.04670520616485418,Medical_Keyword_35
48,-0.015931951040717186,Medical_Keyword_36
49,-0.0900400384501053,Medical_Keyword_37
50,-0.14469040872208008,Medical_Keyword_38
51,0.0019038451679926245,Medical_Keyword_39
52,-0.1357695771953628,Medical_Keyword_40
53,0.017934505349787248,Medical_Keyword_41
54,-0.13549230097692766,Medical_Keyword_42
55,-0.0261144688101522,Medical_Keyword_43
