Id,Response
1,1
3,1
4,1
9,1
12,1
13,1
21,2
28,1
30,1
36,1
38,2
43,1
45,1
48,1
50,1
51,2
54,1
55,1
59,4
62,1
63,1
66,1
69,2
82,1
83,1
84,1
86,1
89,1
90,1
92,3
98,2
100,4
105,1
115,2
119,1
124,1
127,1
133,4
140,1
141,1
143,1
151,1
154,1
157,1
163,1
166,1
168,1
170,1
173,1
180,1
182,4
184,1
185,1
195,2
196,1
197,3
212,1
213,1
219,1
225,1
227,1
232,1
239,1
247,1
251,1
254,1
261,1
264,4
267,2
272,1
275,2
277,1
283,1
284,1
287,1
291,1
293,2
294,1
305,1
307,1
309,1
311,1
322,1
323,1
326,1
330,1
335,1
337,1
338,1
341,1
346,2
348,1
352,1
356,3
358,1
366,1
369,2
373,2
375,1
381,1
384,1
386,1
396,2
397,1
399,1
405,2
412,1
417,1
421,1
425,1
427,2
430,1
432,1
433,1
436,1
438,1
441,1
442,1
444,1
446,1
448,3
450,1
454,8
465,1
470,1
472,1
475,2
484,1
495,1
497,1
498,4
501,3
502,1
505,1
515,1
516,1
527,1
529,1
531,1
533,1
537,1
541,1
546,1
548,1
549,1
550,4
553,1
559,2
561,1
564,1
574,1
578,1
579,1
580,2
582,1
584,2
588,1
596,1
602,1
603,2
613,1
614,2
619,1
620,1
624,1
625,1
628,1
630,1
635,3
636,1
637,1
641,1
644,1
648,1
654,1
658,1
664,1
666,1
667,1
670,1
672,1
674,1
676,1
684,1
685,1
693,1
694,1
700,1
702,1
703,1
705,1
711,1
718,1
722,1
726,1
727,1
732,1
735,3
740,1
748,1
750,1
751,1
756,1
762,1
766,1
770,1
771,1
779,1
782,1
784,2
793,1
798,1
800,1
801,4
805,1
807,1
813,1
819,1
820,1
822,1
823,1
833,1
834,1
842,1
845,1
856,1
860,1
864,1
869,1
872,1
877,1
878,1
893,1
894,2
896,1
899,1
900,1
911,1
914,1
917,1
919,1
923,1
925,4
926,2
934,1
938,1
940,1
955,1
956,3
971,2
973,1
978,2
979,1
981,8
988,2
990,1
992,1
996,1
997,1
999,3
1000,1
1006,1
1009,1
1018,1
1025,1
1038,2
1042,1
1045,3
1046,1
1047,2
1050,1
1052,1
1054,1
1057,1
1061,3
1069,1
1071,2
1073,1
1074,1
1075,1
1083,1
1084,1
1089,1
1099,1
1103,1
1110,1
1123,4
1130,3
1135,1
1137,1
1145,1
1147,1
1152,1
1153,1
1154,3
1158,1
1166,4
1170,2
1172,1
1178,2
1179,1
1181,1
1182,1
1183,1
1191,1
1192,3
1200,3
1205,1
1207,1
1208,2
1209,1
1217,2
1223,1
1225,1
1226,2
1228,1
1230,1
1232,1
1235,1
1237,1
1257,1
1266,1
1267,1
1274,1
1277,1
1278,1
1280,1
1282,1
1293,1
1294,3
1305,1
1306,1
1311,1
1318,1
1320,1
1323,1
1325,1
1328,1
1336,1
1340,1
1341,1
1344,1
1345,2
1348,1
1358,1
1361,1
